original_title,release_year,popularity,director,keywords,runtime,vote_average,Profit
The Brood,1979,0.16016,David Cronenberg,psychologist|body horror|canuxploitation,92,6.1,38468319.79339223
Stridulum,1979,0.15896,Giulio Paradisi,atlanta|telekinesis|evil child,108,3.0,39023319.79339223
Richard Pryor: Live in Concert,1979,0.127707,Jeff Margolis,black comedy,78,7.0,25197618.699245356
When a Stranger Calls,1979,0.125888,Fred Walton,babysitter|suspense|phone call,97,6.0,25197618.699245356
The Onion Field,1979,0.11275999999999999,Harold Becker,cop-killer|based on true story|police officer killed|capital punishment|closeted homosexual,122,5.1,25197618.699245356
The Wanderers,1979,0.110767,Philip Kaufman,new york|street gang|black people|rock and roll|american football,117,7.5,25197618.699245356
Over the Edge,1979,0.226122,Jonathan Kaplan,alcohol|vandalism|police|drug scene|teen angst,95,7.1,25197618.699245356
Tourist Trap,1979,0.077321,David Schmoeller,mask|museum|mannequin|cult|psychopath,90,6.9,25197618.699245356
Rock 'n' Roll High School,1979,0.386843,Allan Arkush,rock and roll|punk|bong|rebellion|camp,93,6.2,39523319.79339223
Norma Rae,1979,0.058087,Martin Ritt,factory|single mother|union|labor|textile worker,110,5.8,7602298.905853121
Dracula,1979,0.032098,John Badham,vampire|dracula|insane asylum|gothic horror,109,6.1,25197618.699245356
The Champ,1979,0.019263,Franco Zeffirelli,boxer|boxing match|son|father|sport,121,7.1,25197618.699245356
The Terminator,1984,4.831966,James Cameron,saving the world|artificial intelligence|rebel|cyborg|shotgun,108,7.1,71971200.0
Indiana Jones and the Temple of Doom,1984,2.5567990000000003,Steven Spielberg,riddle|treasure|heart|skeleton|treasure hunt,118,6.9,305000000.0
Ghostbusters,1984,2.484654,Ivan Reitman,library|taxi|flat|mayor|mythology,107,7.2,265212467.0
Gremlins,1984,2.464803,Joe Dante,holiday|monster|small town|department store|bars and restaurants,106,6.8,142083102.0
The Neverending Story,1984,2.183891,Wolfgang Petersen,based on novel|fictional place|wolf|mythology|magic,102,6.8,-6841192.0
Beverly Hills Cop,1984,2.1083380000000003,Martin Brest,california|showdown|undercover|strip club|investigation,105,6.5,301360478.0
Once Upon a Time in America,1984,1.6891630000000002,Sergio Leone,life and death|corruption|street gang|rape|sadistic,229,7.9,9823319.793392234
Amadeus,1984,1.6822830000000002,MiloÅ¡ Forman,italy|composer|opera|talent|musician,160,7.5,33973029.0
The Karate Kid,1984,1.5081120000000001,John G. Avildsen,flat|taskmaster|karate|egg|kids and family,126,6.7,82815558.0
A Nightmare on Elm Street,1984,1.331432,Wes Craven,child murderer|sleep|coffee|hat|nightmare,91,7.1,23704513.0
Conan the Destroyer,1984,1.247659,Richard Fleischer,swordplay|sword|warrior woman|lone wolf|wizardry,103,5.9,13042035.0
2010,1984,1.077574,Peter Hyams,jupiter|super computer|space travel|space mission|ghost ship,116,6.4,12400657.0
Dune,1984,1.020675,David Lynch,prophecy|witch|monster|telepathy|atomic bomb,137,6.5,-9074310.0
Romancing the Stone,1984,0.991867,Robert Zemeckis,riddle|treasure|hero|map|colombia,106,6.3,76572238.0
Police Academy,1984,0.9739,Hugh Wilson,trainer|recruit|shenanigan|police academy,96,6.3,76698894.0
Red Dawn,1984,0.938766,John Milius,guerilla|colorado|invasion|anti-communism|near future,114,6.5,23750795.905853122
Star Trek III: The Search for Spock,1984,0.82288,Leonard Nimoy,,105,6.1,69000000.0
Moscow on the Hudson,1984,0.822695999999999,Paul Mazursky,american dream|american  way of life|music|moscow,115,6.0,10474298.90585312
Footloose,1984,0.791148,Herbert Ross,dancing|dancer|dance|music|dance teacher,107,6.0,71835402.0
Friday the 13th: The Final Chapter,1984,0.747792,Joseph Zito,lake|resurrection|morgue|serial killer|jason vorhees,91,5.7,-14625669.09414688
Repo Man,1984,0.742001,Alex Cox,california|cocaine|future|punk|theory,92,6.3,800000.0
Nineteen Eighty-Four,1984,0.725581,Michael Radford,vatican|fascism|totalitarian regime|dystopia|big brother,113,6.5,25197618.699245356
Supergirl,1984,0.7006060000000001,Jeannot Szwarc,dc comics|magic|laser|love|superhero,124,4.0,4823319.793392234
The Adventures of AndrÃ© and Wally B.,1984,0.647261,Alvy Ray Smith,computer animation,2,5.3,25197618.699245356
Starman,1984,0.637446,John Carpenter,places and planets|widow|lovers|alien|police car,115,6.3,6744356.0
Bachelor Party,1984,0.633247,Neal Israel,bachelor|loyalty|donkey|stag night|party,105,5.9,32435947.0
This Is Spinal Tap,1984,0.627167,Rob Reiner,rock star|groupie|mockumentary|music band|aftercreditsstinger,82,7.5,-9889499.09414688
Tightrope,1984,0.616491,Richard Tuggle,prostitute|new orleans|serial killer|series of murders|police detective,115,6.0,33517877.905853122
Cheech & Chong's The Corsican Brothers,1984,0.60906,Tommy Chong,clowning|mistaken identity|twin,82,4.4,25197618.699245356
Sixteen Candles,1984,0.606839,John Hughes,birthday|nerd|crush|farce|exchange student,93,6.7,17186027.0
The Killing Fields,1984,0.603541,Roland JoffÃ©,civil war|journalist|photographer|vietnam|cambodia,141,7.2,20300291.0
Night of the Comet,1984,0.5909220000000001,Thom Eberhardt,post-apocalyptic|comet|end of the world|title spoken by character,95,5.7,11418922.0
The Woman in Red,1984,0.5779,Gene Wilder,adultery|infidelity|red dress,87,6.0,14523319.793392234
The Ewok Adventure,1984,0.561034,John Korty,parents kids relationship|monster|space marine|magic|dangerous,96,5.8,25197618.699245356
The Last Starfighter,1984,0.550313,Nick Castle,android|trailer park|space marine|games|alien,101,6.1,13733290.0
A Christmas Carol,1984,0.542315,Clive Donner,holiday|future|scrooge|christmas,100,6.6,25197618.699245356
Sheena,1984,0.539505,John Guillermin,mercenary|adventure|zebra|barefoot|female hero,117,4.8,-19221647.0
Blood Simple,1984,0.538135,Joel Coen,wife husband relationship|planned murder|lover|boss|employee,97,7.0,38323319.79339223
Splash,1984,0.524253,Ron Howard,bachelor|mermaid|sirena,111,6.1,61821334.0
"Paris, Texas",1984,0.518436,Wim Wenders,brother brother relationship|regret|texas|peep show|van,147,7.4,435023.0
Body Double,1984,0.517691,Brian De Palma,female nudity|pornography|claustrophobia|nudity|witness,114,6.1,-1198060.0
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,0.5114989999999989,W.D. Richter,menace|talent|intellectually gifted|space war|time travel,103,6.2,25197618.699245356
City Heat,1984,0.504848,Richard Benjamin,photographer|private eye|whorehouse,93,5.2,13348988.0
Dreamscape,1984,0.495575,Joseph Ruben,u.s. president|monster|dream|heart|telekinesis,99,5.8,-2480532.0941468794
The Bounty,1984,0.493364,Roger Donaldson,exotic island|mutiny|lake|ship|tahiti,132,6.0,31223319.793392234
The Cotton Club,1984,0.491888,Francis Ford Coppola,jazz|jazz musician|musical|mafia,127,6.1,-32071279.0
Trancers,1984,0.468552,Charles Band,detective|fight|santa claus|hypnosis|time travel,77,5.6,25197618.699245356
The Muppets Take Manhattan,1984,0.46568000000000004,Frank Oz,new york|career|musical|frog|pig,94,6.1,31823319.793392234
Top Secret!,1984,0.44653000000000004,Jim Abrahams|David Zucker|Jerry Zucker,spy|rock and roll|bookshop|beach|prisoner,90,6.8,11458340.0
Against All Odds,1984,0.378244,Taylor Hackford,adventure|american football player|film noir,128,5.4,25197618.699245356
Blame It on Rio,1984,0.375305,Stanley Donen,seduction|sexual awakening,100,6.1,25197618.699245356
Stranger Than Paradise,1984,0.26516,Jim Jarmusch,new york|bet|horse race|florida|hungary,89,6.9,25197618.699245356
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,0.368967,Hugh Hudson,england|baby|civilization|shipwreck|tarzan,143,6.2,31232861.905853122
Birdy,1984,0.367854,Alan Parker,lunatic asylum|vietnam war,120,6.8,25197618.699245356
Purple Rain,1984,0.367406,Albert Magnoli,suicide attempt|pop star|aspiring singer,111,6.9,61192977.0
Falling in Love,1984,0.362732,Ulu Grosbard,,102,6.0,-3496644.0941468794
Missing in Action,1984,0.36224,Joseph Zito,prisoner of war|vietnam war|jungle,101,5.1,20262411.0
All of Me,1984,0.354864,Carl Reiner,change|guru,93,6.2,25197618.699245356
The Natural,1984,0.351379,Barry Levinson,baseball|talent|sport,137,6.8,19951979.0
Revenge of the Nerds,1984,0.343859,Jeff Kanew,sex|defenestration|funhouse|boy with glasses|breathing fire,90,6.6,25197618.699245356
Children of the Corn,1984,0.361782,Fritz Kiersch,sacrifice|children gang|religious cult,93,5.6,13200000.0
Frankenweenie,1984,0.34233600000000003,Tim Burton,monster|neighbor|young boy,29,6.6,25197618.699245356
The Toxic Avenger,1984,0.335414,Lloyd Kaufman|Michael Herz,corruption|mayor|anti hero|sadism|toxic waste,82,6.2,25197618.699245356
The Hills Have Eyes Part II,1984,0.33317399999999997,Wes Craven,bus ride|desert,86,4.1,39123319.79339223
A Passage to India,1984,0.329484,David Lean,doctor|india|english|magistrate|mosque,163,6.7,19187653.0
Streets of Fire,1984,0.297597,Walter Hill,fan|rescue|singer|motorcycle|motorcycle gang,93,6.7,-6410710.0
Stop Making Sense,1984,0.28319099999999997,Jonathan Demme,concert,88,8.4,3778922.0
Savage Streets,1984,0.282143,Danny Steinmann,street gang|rape|fire|nudity|exploitation film,92,6.2,25197618.699245356
Cloak & Dagger,1984,0.274845,Richard Franklin,spy|father-son relationship|traitor|murder|mystery,101,6.1,25197618.699245356
Johnny Dangerously,1984,0.263961,Amy Heckerling,organized crime|mobster|woman director,90,6.5,25197618.699245356
Cannonball Run II,1984,0.263945,Hal Needham,number in title|car chase|race|amphibious vehicle|nun costume,108,5.6,13452371.90585312
Breakin',1984,0.263651,Joel Silberg,dancing|rap|hip-hop,90,5.5,25197618.699245356
Rhinestone,1984,0.263077,Bob Clark,musical,111,5.3,11823319.793392234
Crimes of Passion,1984,0.262738,Ken Russell,prostitute|sex|detective|double life|role playing,112,6.3,25197618.699245356
Breakin' 2: Electric Boogaloo,1984,0.187368,Sam Firstenberg,breakdance|sequel,94,5.6,25197618.699245356
"Silent Night, Deadly Night",1984,0.24330100000000002,Charles E. Sellier Jr.,holiday|santa claus|boy|killer santa claus|holiday horror,79,4.9,38758319.79339223
Suburbia,1984,0.238873,Penelope Spheeris,independent film|punk rock|woman director,94,5.9,25197618.699245356
Hot Dog... The Movie,1984,0.22911700000000002,Peter Markle,female nudity|sport|party|skiing|ski,96,4.4,25197618.699245356
The Philadelphia Experiment,1984,0.22776799999999997,Stewart Raffill,experiment|intelligence|time travel|aftermath|biography,102,5.8,25197618.699245356
Tank,1984,0.222379,Marvin J. Chomsky,prostitute|showdown|tank|dirty cop|military,113,6.0,-490824.0941468794
A Soldier's Story,1984,0.215846,Norman Jewison,black|boot camp,101,5.6,25197618.699245356
Firestarter,1984,0.21068,Mark L. Lester,fire|telepathy|intelligence|college,114,5.9,25197618.699245356
Threads,1984,0.21029699999999998,Mick Jackson,nuclear holocaust|disaster,112,6.3,25197618.699245356
Bolero,1984,0.204093,John Derek,sex|butler|nudity|sheik|independent film,105,4.5,32823319.793392234
Rats - Notte di terrore,1984,0.198438,Bruno Mattei|Claudio Fragasso,post-apocalyptic|survivor|rat,97,4.4,25197618.699245356
Runaway,1984,0.19028699999999998,Michael Crichton,technology|future|chase|revenge|murder,100,4.7,25197618.699245356
C.H.U.D.,1984,0.197425,Douglas Cheek,bum|sewer,88,4.5,2162497.0
Ghoulies,1984,0.177006,Luca Bercovici,witch|demon|warlock,81,3.6,34000000.0
Places in the Heart,1984,0.21218800000000002,Robert Benton,war veteran|kidnapper|family farm|cotton farmer,111,5.7,25197618.699245356
Best Defense,1984,0.174241,Willard Huyck,middle east|armor|kgb|test|error,94,3.8,1265302.0
The Pope of Greenwich Village,1984,0.20482399999999998,Stuart Rosenberg,brother brother relationship|mobster,121,5.9,25197618.699245356
Airwolf: The Movie,1984,0.154225,Donald P. Bellisario,flying|helicopter|power|territory|search,85,4.9,25197618.699245356
The Ice Pirates,1984,0.202992,Stewart Raffill,rebel|space war|water|sci-fi comedy,91,5.0,30823319.793392234
Razorback,1984,0.140026,Russell Mulcahy,wild boar|australia|animal attack|australian outback|ozploitation,95,5.6,-4699000.0
The Lonely Guy,1984,0.059713,Arthur Hiller,,90,6.2,25197618.699245356
Forbrydelsens element,1984,0.13661800000000002,Lars von Trier,cairo|journey in the past|hypnose|murder|suspense,104,5.7,25197618.699245356
Broadway Danny Rose,1984,0.13399,Woody Allen,artist|girlfriend|talent manager,84,6.6,2600497.0
Gwendoline,1984,0.133098,Just Jaeckin,female nudity|prostitute|hostage|nudity|cult film reference,88,3.9,-13288427.09414688
Ninja III: The Domination,1984,0.127192,Sam Firstenberg,revenge|ninjas|possessed,92,4.8,25197618.699245356
The Times of Harvey Milk,1984,0.125596,Rob Epstein,gay|assassination|san francisco|politics|independent film,90,6.3,25197618.699245356
Beat Street,1984,0.11825799999999999,Stan Lathan,disc jockey|rap|hip-hop|rhyme battle|subway,105,6.5,25197618.699245356
Electric Dreams,1984,0.109048,Steve Barron,architect|cello|computer,95,5.6,25197618.699245356
The Hit,1984,0.08784,Stephen Frears,spain|road trip|thriller|kidnapping|criminal,98,6.3,25197618.699245356
Under the Volcano,1984,0.082235,John Huston,mexico|alcoholic,112,6.4,25197618.699245356
The Company of Wolves,1984,0.06413300000000001,Neil Jordan,grandmother granddaughter relationship|fairy-tale figure|werewolf|fantastic world,95,6.6,37823319.79339223
Return of the Jedi,1983,4.828854,Richard Marquand,rebel|emperor|space battle|matter of life and death|siblings,135,7.8,540350000.0
Scarface,1983,3.178818,Brian De Palma,miami|corruption|capitalism|cuba|prohibition,170,7.8,40884703.0
Never Say Never Again,1983,1.774018,Irvin Kershner,video game|spy|bahamas|british|stealing,134,5.8,124000000.0
Octopussy,1983,1.575742,John Glen,atomic bomb|eastern block|crocodile|secret intelligence service|kgb,131,5.9,156200000.0
A Christmas Story,1983,1.494805,Bob Clark,holiday|nostalgia|young boy|bb gun|essay,94,7.1,4668442.905853121
Superman III,1983,1.263139,Richard Lester,saving the world|dc comics|super computer|identity crisis|loss of powers,125,4.7,36800000.0
Trading Places,1983,1.1151389999999999,John Landis,christmas tree|from rags to riches|broker|beggar|dollar,116,6.9,49800000.0
WarGames,1983,1.106471,John Badham,video game|artificial intelligence|fbi|cold war|hacker,114,6.8,67567667.0
National Lampoon's Vacation,1983,1.0684,Harold Ramis,usa|relatives|family vacation|family holiday|duringcreditsstinger,98,6.9,46399552.0
Jaws 3,1983,1.065331,Joe Alves,dolphin|florida|scuba diving|swimming|killer shark,99,4.2,67487055.0
The Meaning of Life,1983,0.941118,Terry Jones|Terry Gilliam,sense of life|comedian|sketch|monty python|aftercreditsstinger,107,6.9,25197618.699245356
Terms of Endearment,1983,0.8072010000000001,James L. Brooks,loss of husband|cancer|mother daughter relationship|single mother|neighbor neighbor relationship,132,6.3,31823319.793392234
Private School,1983,0.772972,Noel Black,sex|nudity|underwear|cult|bikini,89,4.5,25197618.699245356
Sudden Impact,1983,0.771263,Clint Eastwood,heart|chase|revitalization|dirty harry,117,6.6,45642693.0
Risky Business,1983,0.699455,Paul Brickman,brothel|high school|party,98,6.3,57341777.0
The Right Stuff,1983,0.6757529999999989,Philip Kaufman,cold war|pilot|space travel|politics|historical figure,193,7.2,-5500000.0
Breathless,1983,0.65591,Jim McBride,mexico|eroticism|quickie|suspicion of murder|motel,100,5.8,5284300.905853121
Yellowbeard,1983,0.598749,Mel Damski,prison|spain|sea|treasure hunt|royal navy,96,5.9,-10325701.09414688
Mickey's Christmas Carol,1983,0.592218999999999,Burny Mattinson,cartoon|scrooge|ghost|charles dickens|christmas,26,7.4,18000000.0
Still Smokin,1983,0.589232,Tommy Chong,amsterdam|mistake in person|comedy show,91,5.3,917298.9058531206
The Hunger,1983,0.5756680000000001,Tony Scott,vampire|immortality|aging|lesbianism|eternal youth,97,6.5,-8646409.09414688
Christine,1983,0.560348,John Carpenter,teenager|stephen king|psychological drama|immolation|animate car,110,6.4,6574298.905853121
The Outsiders,1983,0.554917,Francis Ford Coppola,street gang|children's home|coming of age|gang|juvenile delinquent,91,6.8,15697647.0
Porky's II: The Next Day,1983,0.5436880000000001,Bob Clark,ku klux klan|lust|teenager|mischief|religious fanatic,98,4.9,27259266.0
Under Fire,1983,0.5133909999999989,Roger Spottiswoode,wife husband relationship|1970s|revolution|war photographer|nicaragua,128,7.2,25197618.699245356
The Man with Two Brains,1983,0.504901,Carl Reiner,brain|just married|marriage contract|wedding|brain surgeon,93,5.9,29723319.793392234
The Day After,1983,0.4887,Nicholas Meyer,cold war|kansas|disaster,127,6.7,25197618.699245356
Cujo,1983,0.48558500000000004,Lewis Teague,cadillac|blood splatter|st. bernard's dog|dam|cult favorite,91,5.8,34823319.79339223
Yentl,1983,0.478476,Barbra Streisand,studies|music|disguise|unhappiness|boys' school,132,6.2,18400000.0
Blue Thunder,1983,0.465858,John Badham,vietnam veteran|helicopter|mayor|vietnam war|security camera,109,5.8,20313354.0
The Dead Zone,1983,0.449475,David Cronenberg,suspense|series of murders|psychic,103,6.5,10766616.0
Valley Girl,1983,0.419263,Martha Coolidge,alcohol|sex|nudity|punk|music,99,5.9,39473319.79339223
All the Right Moves,1983,0.39276,Michael Chapman,sex|american football|classroom|saxophone|nudity,91,5.3,2607464.9058531206
Zelig,1983,0.388667,Woody Allen,paris|great depression|celebrity|mockumentary|chameleon,79,7.1,-2827085.0941468794
Gorky Park,1983,0.373977,Michael Apted,cold war|kgb|municipal park|politician|suspense,128,6.2,1549900.9058531206
Screwballs,1983,0.363044,Rafal Zielinski,sex|nudity|high school|teenager|teen comedy,80,5.2,25197618.699245356
Flashdance,1983,0.343668,Adrian Lyne,dancing|dance|locksmith|welder,95,6.1,88921203.0
Silkwood,1983,0.34109,Mike Nichols,plutonium|radiation|oklahoma|research|company,131,6.2,25197618.699245356
Curse of the Pink Panther,1983,0.453516,Blake Edwards,,109,4.3,-10133715.09414688
Smokey and the Bandit Part 3,1983,0.336573,Dick Lowry,,85,4.8,-8946751.09414688
Amityville 3-D,1983,0.336525,Richard Fleischer,haunted house,105,3.9,-8292566.094146879
Twilight Zone: The Movie,1983,0.323585,John Landis|Steven Spielberg|George Miller|Joe Dante,nazis|anthology|remake|twilight zone,101,6.0,19450919.0
To Be or Not to Be,1983,0.316785,Alan Johnson,world war ii|polish stereotype|actor,107,7.2,-1595487.0941468794
Educating Rita,1983,0.316098,Lewis Gilbert,,110,5.2,25197618.699245356
Krull,1983,0.31151999999999996,Peter Yates,kingdom|lightsaber|cult favorite|dead body|fortress,117,5.8,39823292.79339223
Rumble Fish,1983,0.31140100000000004,Francis Ford Coppola,street gang|billard|colour-blindness|gang,94,6.3,-7505520.0
Staying Alive,1983,0.307082,Sylvester Stallone,dancing master|nightclub|career|disco|broadway,93,4.8,42892670.0
Lone Wolf McQuade,1983,0.290596,Steve Carver,martial arts|texas|texas ranger|weapon|drug,107,5.2,7232628.0
The Big Chill,1983,0.288819,Lawrence Kasdan,suicide|funeral|morning|gathering|remembrance,105,6.3,25197618.699245356
Psycho II,1983,0.27786500000000003,Richard Franklin,female nudity|mother|shower|nudity|motel,113,6.0,29725000.0
Losin' It,1983,0.258294,Curtis Hanson,male nudity|female nudity|mexico|prostitute|nudity,100,4.5,25197618.699245356
V,1983,0.252755,Kenneth Johnson,resistance|spacecraft|coverup|extraterrestrial|mother ship,197,6.5,25197618.699245356
Videodrome,1983,0.252008,David Cronenberg,suicide|tv show|hallucination|tv station|radio presenter,87,6.8,-3831561.0
Two of a Kind,1983,0.22624699999999998,John Herzfeld,god|male female relationship,88,4.8,9021250.90585312
The Osterman Weekend,1983,0.218042,Sam Peckinpah,terror|cia|fight|summer residence|kgb,103,6.1,-8138904.094146879
Deathstalker,1983,0.210827,James Sbardellati,sex|witch|monster|sword|magic,80,3.8,-5735016.094146879
Michael Jackson's Thriller,1983,0.20684899999999998,John Landis,music video|zombies|werewolf,13,8.1,38723319.79339223
Local Hero,1983,0.20670500000000003,Bill Forsyth,scotland|small town|village life|petrol|village,111,7.3,25197618.699245356
Never Cry Wolf,1983,0.204069,Carroll Ballard,wolf|arctic|alaska,105,6.1,25197618.699245356
Fire and Ice,1983,0.196581,Ralph Bakshi,ice|adult animation,81,6.1,-439117.0
Rock & Rule,1983,0.19553900000000002,Clive A. Smith,female nudity|self sacrifice|cocaine|future|musician,77,6.1,31823319.793392234
The Star Chamber,1983,0.558139,Peter Hyams,judge|hitman|secret society|mission of murder|delinquency,109,5.1,25197618.699245356
Bad Boys,1983,0.17219,Rick Rosenthal,prison|irish-american|juvenile prison,104,6.2,-5434882.094146879
Brainstorm,1983,0.254523,Douglas Trumbull,virtual reality|memory,106,6.2,-4780540.0
Class,1983,0.4302,Lewis John Carlino,older woman seduces younger guy|college student,98,6.4,25197618.699245356
Strange Brew,1983,0.161325,Rick Moranis|Dave Thomas,independent film,90,5.7,25197618.699245356
Acqua e sapone,1983,0.00212,Carlo Verdone,,109,6.1,25197618.699245356
The Keep,1983,0.14819200000000002,Michael Mann,nazis|electronic music score|demon|ss,96,5.3,-2338243.0
Eddie and the Cruisers,1983,0.147092,Martin Davidson,music,95,6.9,-9940604.09414688
Mr. Mom,1983,0.14649700000000002,Stan Dragoti,housewife|job,91,6.1,50158125.90585312
BMX Bandits,1983,0.136046,Brian Trenchard-Smith,robbery|beach|bank|hostage|chase,88,7.0,38842934.79339223
Something Wicked This Way Comes,1983,0.194675,Jack Clayton,circus|witch|based on novel|lightning|dream,95,6.3,-13343913.0
Sleepaway Camp,1983,0.38495799999999997,Robert Hiltzik,boat accident|summer camp|murder|gore|serial killer,85,6.3,39473319.79339223
Meantime,1983,0.0753669999999999,Mike Leigh,london|skinhead|brother brother relationship|working class|margaret thatcher,102,5.5,25197618.699245356
The House on Sorority Row,1983,0.089401,Mark Rosman,stalker|murder|prank|sorority|slasher,91,5.5,10179986.0
Metalstorm: The Destruction of Jared-Syn,1983,0.085136,Charles Band,space|space opera|3d,84,2.7,25197618.699245356
Hercules,1983,0.095316,Luigi Cozzi,greek mythology|sword fight|hercules|roman mythology,98,3.1,-3949507.0941468794
Uncommon Valor,1983,0.072379,Ted Kotcheff,vietnam veteran|loss of son|vietnam|vietnam war|laos,105,6.1,13274298.90585312
Eddie Murphy: Delirious,1983,0.029945,Bruce Gowers,humor|stand-up|crude humor,69,7.3,25197618.699245356
Spacehunter: Adventures in the Forbidden Zone,1983,0.015727,Lamont Johnson,alien planet|forbidden zone|waif,90,5.1,1500000.0
Se7en,1995,4.76535899999999,David Fincher,self-fulfilling prophecy|detective|s.w.a.t.|drug dealer|evisceration,127,7.9,294311859.0
Toy Story,1995,4.282462000000001,John Lasseter,jealousy|toy|boy|friendship|friends,81,7.5,331958736.0
The Usual Suspects,1995,3.440238,Bryan Singer,law|relatives|theft|criminal|criminal mastermind,106,8.0,17341568.0
Braveheart,1995,2.5333229999999998,Mel Gibson,individual|scotland|in love with enemy|legend|independence,177,7.5,138000000.0
GoldenEye,1995,2.440099,Martin Campbell,cuba|falsely accused person|secret identity|computer virus|secret base,130,6.4,294194034.0
Jumanji,1995,2.245837,Joe Johnston,board game|disappearance|based on a children's book|new home|recluse,104,6.6,197797249.0
Die Hard: With a Vengeance,1995,2.230236,John McTiernan,bomb|taxi|riddle|robbery|detective,128,6.7,276101666.0
Species,1995,2.216699,Roger Donaldson,instinct|los angeles|genetic engineering,108,5.2,78000000.0
Twelve Monkeys,1995,2.206907,Terry Gilliam,schizophrenia|philadelphia|cassandra syndrom|stockholm syndrome|time travel,129,7.2,139340000.0
Apollo 13,1995,2.191608,Ron Howard,moon|florida|nasa|spaceman|race against time,140,7.1,303237933.0
Bad Boys,1995,1.964673,Michael Bay,miami|detective|handcuffs|airport|mexican standoff,118,6.4,122407024.0
Pocahontas,1995,1.9132740000000001,Mike Gabriel|Eric Goldberg,princess|native american|animation|star crossed lovers|reference to pizarro,81,6.6,291079773.0
Heat,1995,1.8475830000000002,Michael Mann,gambling|suicide attempt|burglar|booties|detective inspector,171,7.5,127436818.0
Before Sunrise,1995,1.706784,Richard Linklater,dialogue|sunrise|talking|soulmates|walking,105,7.6,3035405.0
Judge Dredd,1995,1.6490770000000001,Danny Cannon,judge|post-apocalyptic|dystopia|based on comic book|police officer,96,5.2,23493481.0
Batman Forever,1995,1.59374,Joel Schumacher,riddle|dc comics|rose|gotham city|superhero,121,5.2,236529144.0
Casino,1995,1.5526659999999999,Martin Scorsese,poker|drug abuse|1970s|overdose|illegal prostitution,178,7.6,64112375.0
Clueless,1995,1.441055,Amy Heckerling,puberty|high school|make a match|spoiled child|gay interest,97,6.9,27823319.793392234
Babe,1995,1.3571309999999999,Chris Noonan,sheep|pig|affection|piglet|heroism,89,5.9,224134910.0
Casper,1995,1.27600499999999,Brad Silberling,halloween|friendship|supernatural|afterlife|friends,100,5.9,237928194.0
It Takes Two,1995,1.255616,Andy Tennant,orphan|identical twin,101,6.1,25197618.699245356
Four Rooms,1995,1.23489,Allison Anders|Alexandre Rockwell|Robert Rodriguez|Quentin Tarantino,hotel|new year's eve|witch|bet|hotel room,98,6.4,300000.0
Waterworld,1995,1.232098,Kevin Reynolds,ocean|tattoo|mutant|water|dystopia,135,5.8,89218220.0
A Goofy Movie,1995,1.210502,Kevin Lima|Paul Brizzi,father-son relationship|pop singer|musical|celebrity|road trip,78,6.6,20722895.905853122
Ace Ventura: When Nature Calls,1995,1.173211,Steve Oedekerk,africa|indigenous|human being-animal relationship|bat,90,6.0,182385533.0
The Bridges of Madison County,1995,1.173191,Clint Eastwood,farewell|adultery|love at first sight|photographer|wife husband relationship,135,6.9,158016617.0
Leaving Las Vegas,1995,1.162695,Mike Figgis,individual|prostitute|alcohol|casino|love at first sight,112,6.9,46200000.0
The Net,1995,1.1366100000000001,Irwin Winkler,cheating|new identity|computer virus|chase|computer,114,5.6,1084279658.0
A Close Shave,1995,1.1151520000000001,Nick Park,prison|inventor|loyalty|sheep|innocence,30,7.4,25197618.699245356
Johnny Mnemonic,1995,1.085209,Robert Longo,brain|childhood memory|dystopia|pharmaceutical industry|computer chip,97,5.3,-6924280.0
Desperado,1995,1.077787,Robert Rodriguez,gunslinger|anti terror|ambush|mexico|showdown,104,6.7,18405445.0
While You Were Sleeping,1995,1.068338,Jon Turteltaub,brother brother relationship|chicago|coma|subway|love of one's life,103,6.2,165057016.0
Outbreak,1995,1.041497,Wolfgang Petersen,river|general|research|army|serum,127,6.1,175233858.90585312
To Die For,1995,1.016022,Gus Van Sant,adultery|winter|obsession|television|new hampshire,106,6.4,1284514.0
Under Siege 2: Dark Territory,1995,0.986266,Geoff Murphy,terrorist|pentagon|satellite|navy seal|train,100,5.6,44324083.0
Cutthroat Island,1995,0.981049,Renny Harlin,exotic island|treasure|map|ship|scalp,119,6.1,-79482678.0
Mortal Kombat,1995,0.958991,Paul W.S. Anderson,martial arts|monster|island|gore|sorcerer,101,5.4,104195920.0
Sense and Sensibility,1995,0.947883,Ang Lee,bowling|based on novel|servant|country life|jane austen,136,7.1,118500000.0
Billy Madison,1995,0.938457,Tamra Davis,woman director,89,6.2,16488734.0
Mighty Morphin Power Rangers: The Movie,1995,0.9320729999999999,Bryan Spicer,based on tv series|tokusatsu|superhero team|ethnic diversity|super sentai,92,5.3,51000000.0
Get Shorty,1995,0.9017799999999999,Barry Sonnenfeld,gambling|miami|based on novel|job|murder,105,6.1,84851622.0
Assassins,1995,0.888985,Richard Donner,competition|assassination|cia|bank|cat,132,5.8,-19696928.0
The Quick and the Dead,1995,0.8759950000000001,Sam Raimi,gunslinger|revenge|prairie|shootout|pistol,107,6.2,-13447540.0
French Kiss,1995,0.829551,Lawrence Kasdan,paris|airport|in love with enemy|canadian|necklace,111,6.1,25197618.699245356
The Land Before Time III: The Time of the Great Giving,1995,0.826263,Roy Allen Smith,dinosaur,71,6.0,25197618.699245356
